t,abad_deg,mcp_deg,pip_deg
3.130000,-30.487171,31.326973,76.222903
3.135000,-30.487137,31.334275,76.496295
3.140000,-30.487103,31.342095,76.763554
3.145000,-30.487068,31.350459,77.024597
3.150000,-30.487034,31.359372,77.279335
3.155000,-30.487004,31.368853,77.527681
3.160000,-30.486973,31.378907,77.769558
3.165000,-30.486942,31.389558,78.004886
3.170000,-30.486911,31.400815,78.233574
3.175000,-30.486881,31.412689,78.455548
3.180000,-30.486850,31.425178,78.670727
3.185000,-30.486819,31.438305,78.879034
3.190000,-30.486788,31.452075,79.080395
3.195000,-30.486758,31.466504,79.274727
3.200000,-30.486727,31.481592,79.461963
3.205000,-30.486696,31.497352,79.642021
3.210000,-30.486665,31.513786,79.814838
3.215000,-30.486635,31.530909,79.980347
3.220000,-30.486604,31.548722,80.138473
3.225000,-30.486573,31.567236,80.289147
3.230000,-30.486543,31.586449,80.432314
3.235000,-30.486512,31.606373,80.567901
3.240000,-30.486484,31.627007,80.695851
3.245000,-30.486457,31.648361,80.816103
3.250000,-30.486430,31.670436,80.928603
3.255000,-30.486403,31.693242,81.033289
3.260000,-30.486375,31.716772,81.130107
3.265000,-30.486348,31.741040,81.219009
3.270000,-30.486321,31.766042,81.299940
3.275000,-30.486293,31.791785,81.372845
3.280000,-30.486266,31.818262,81.437684
3.285000,-30.486239,31.845484,81.494409
3.290000,-30.486211,31.873443,81.542978
3.295000,-30.486187,31.902150,81.583352
